year,local,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47
2004,부산,26,Busan,부산광역시,,,,,,,,,,,,,,,,"4,709,072","3,305,442","558,195","845,435",40.7,17.31,23.35,"503,777","679,622","2,910,198",503,"1,857,289","51,183,872","61,227,100",,,,,,,75.6,83.6,7.8,"3,666,345",새천년민주당,3rd,안상영,한나라당,63.76,한이헌,새천년민주당,19.39
2004,대구,27,Daegu,대구광역시,,,,,,,,,,,,,,,,"3,134,676","1,898,123","336,501","900,052",38.7,11.44,27.3,"212,584","507,161","1,858,000",467,"1,180,814","31,089,716","38,364,894",,,,,,,73.2,84.9,7.4,"2,524,712",새천년민주당,3rd,조해녕,한나라당,61.18,이재용,무소속,38.81
2004,인천,28,Incheon,인천광역시,,,,,,,,,,,,,,,,"3,304,429","2,251,090","619,127","434,212",44.9,19.76,25.18,"399,514","509,065","2,021,654",538,"1,386,693","44,384,378","54,987,798",,,,,,,75.9,84.6,6.6,"2,578,817",새천년민주당,3rd,안상수,한나라당,56.17,박상은,새천년민주당,32.11
2004,광주,29,Gwangju,광주광역시,,,,,,,,,,,,,,,,"2,250,961","1,467,111","150,406","633,443",46.1,10.18,35.93,"125,617","443,528","1,234,362",431,"602,683","18,380,958","23,198,230",,,,,,,59.8,74.9,6.8,"1,401,172",새천년민주당,3rd,박광태,새천년민주당,46.81,정동년,무소속,27.04
2004,대전,30,Daejeon,대전광역시,,,,,,,,,,,,,,,,"1,787,408","1,210,308","176,430","400,671",42.3,9.04,33.29,"100,992","372,106","1,117,736",509,"723,250","21,317,799","27,540,951",,,,,,,74.4,84.8,6.6,"1,443,471",새천년민주당,3rd,염홍철,한나라당,46.61,홍선기,자민련,40.2
2004,울산,31,Ulsan,울산광역시,,,,,,,,,,,,,,,,"1,442,170","983,940","367,587","90,643",50.7,18.08,32.66,"164,067","296,387","907,457",513,"546,533","43,743,607","59,706,880",,,,,,,69.6,86.8,5,"1,081,453",새천년민주당,3rd,박맹우,한나라당,53.07,송철호,민주노동당,43.61
2004,세종,36,Sejong-si,세종특별자치시,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,새천년민주당,3rd,,,,,,
2004,경기,41,Gyeonggi-do,경기도,,,,,,,,,,,,,,,,"9,400,544","7,660,862","1,146,742","592,940",46.4,22.46,23.98,"1,657,094","1,768,924","7,377,934",548,"5,590,000","179,960,159","208,742,156",,,,,,,78.8,90.4,6.8,"10,462,920",새천년민주당,3rd,손학규,한나라당,58.37,진념,새천년민주당,35.98
2004,강원,42,Gangwon-do,강원도,,,,,,,,,,,,,,,,"2,245,822","1,956,146","175,735","113,941",68.6,10.36,58.2,"158,837","892,267","1,533,080",235,"358,700","23,659,379","29,386,767",,,,,,,28.9,82.6,11.5,"1,521,375",새천년민주당,3rd,김진선,한나라당,71.11,남동우,새천년민주당,28.88
2004,충북,43,Chungcheongbuk-do,충청북도,,,,,,,,,,,,,,,,"1,984,858","1,645,821","228,992","110,046",78.1,19.31,58.76,"241,180","733,843","1,248,950",207,"307,788","28,112,862","33,573,276",,,,,,,31.3,82.3,10.9,"1,488,945",새천년민주당,3rd,이원종,한나라당,58.59,구천서,자민련,33.47
